LAST NAME;FIRST NAME;MIDDLE NAME;ENDING TO LAST NAME;BRANCH OF SERVICE;OFFICER OR ENLISTED INDIVIDUAL;ABBREVIATION OF RANK;CODE FOR GRADE AND PAY;CODES FOR OFFICERS AND ENLISTED PERSONNEL;INDICATES MEMBERSHIP IN A SPECIFIC CORPS;UNIT / COMMAND IDENTIFICATION CODE;RECOMMENDED AWARD;DUTY ASSIGNMENT;TYPE OF ACTION COMMENDED BY THE ORIGINATOR;NUMBER OF TIMES THIS AWARD HAS BEEN GIVEN;START OF AWARD MERIT PERIOD;END OF AWARD MERIT PERIOD;NUMBER OF MONTHS IN MERIT AWARD PERIOD;INDICATOR FOR DISPLAYING MERIT_START_DATE AND MERIT_END_DATE ON REPORTS;GEOGRAPHIC AREA IN WHICH THE AWARD WAS EARNED;DATE AWARD RECOMMENDED;NAME OF AWARD ENDORSED BY CHIEF OF NAVAL OPERATIONS OR COMMANDANT OF THE MARINE CORPS;DATE ENDORSER SIGNS CASE;NAME OF APPROVED AWARD;AWARDING AUTHORITY CODE;DATE AWARD APPROVED;PARTICIPATING COMMANDS IDENTIFICATION;MULITIPLE RECORD IDENTIFICATION;DATE FROM COMMANDANT OF THE MARINE CORPS;MONTH, DAY, AND YEAR RECORD WAS ENTERED;TIME RECORD WAS ENTERED;MONTH, DAY, AND YEAR RECORD WAS MODIFIED;TIME RECORD WAS MODIFIED
GRENFELL;ELTON;W;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY CROSS;;MERITORIOUS;1;;;0;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;SECNAV;03/28/1942;538851;;;07/15/1988;163700;09/27/1992;210400
BENNETT;CARTER;L;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;SILVER STAR MEDAL;;HEROIC;1;;;0;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;11/27/1942;540988;;;07/15/1988;163800;09/27/1992;223100
KNOLL;DENYS;W;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;LEGION OF MERIT;;MERITORIOUS;1;01/01/1941;04/01/1942;16;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;LEGION OF MERIT;SECNAV;07/09/1942;539641;;;07/15/1988;163800;09/27/1992;214500
SCHUMACHER;VINCEN;;;NAVY;OFFICER;;Lieutenant (Junior Grade) OR First Lieutenant;;;5259;SILVER STAR MEDAL;;HEROIC;1;01/01/1941;01/01/1942;13;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;USA - U.S. ARMY;03/16/1942;543074;;;07/15/1988;163900;10/15/1992;102600
THACH;JOHN;S;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;DISTINGUISHED SERVICE MEDAL;;MERITORIOUS;1;02/01/1941;06/01/1941;5;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;DISTINGUISHED SERVICE MEDAL;SECNAV;09/17/1942;539204;;;07/15/1988;163800;09/27/1992;211900
TAYLOR;EDMUND;B;;NAVY;OFFICER;;Commander OR Lieutenant Colonel;;;2193;Undefined Code;;MERITORIOUS;0;11/01/1941;11/01/1942;13;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;Undefined Code;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;11/27/1942;538530;;;07/15/1988;163700;09/27/1992;205300
BULKELEY;JOHN;D;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;MEDAL OF HONOR;;HEROIC;1;12/01/1941;04/01/1942;5;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;MEDAL OF HONOR;PRESIDENT;08/04/1942;117956;;;07/15/1988;150000;09/13/1988;92300
BULKELEY;JOHN;D;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY CROSS;;HEROIC;1;12/01/1941;02/01/1942;3;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;SECNAV;05/25/1942;117957;;;07/15/1988;150000;09/13/1988;92300
ERLY;ROBERT;B;;NAVY;OFFICER;;Lieutenant OR Captain;;;5259;NAVY AND MARINE CORPS COMMENDATION MEDAL;;MERITORIOUS;1;12/07/1941;12/07/1941;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY AND MARINE CORPS COMMENDATION MEDAL;SECNAV;03/28/1942;336915;;;07/15/1988;153700;09/13/1988;100200
LABARRE;CARL;ANTHONY;;NAVY;OFFICER;;Colonel;3100;;5259;NAVY AND MARINE CORPS COMMENDATION MEDAL;;MERITORIOUS;1;12/07/1941;12/07/1941;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY AND MARINE CORPS COMMENDATION MEDAL;SECNAV;03/28/1942;427831;;;07/15/1988;161500;09/13/1988;102000
SYMONS;FLOYD;MURPHY;;NAVY;OFFICER;;Colonel;1100;;5259;SILVER STAR MEDAL;;HEROIC;1;12/10/1941;12/10/1941;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;SECNAV;07/06/1942;49462;;;07/15/1988;144700;09/13/1988;91100
CAMPBELL;DUNCAN;A;;NAVY;OFFICER;;Lieutenant (Junior Grade) OR First Lieutenant;;;5259;DISTINGUISHED FLYING CROSS;;HEROIC;1;12/27/1941;12/27/1941;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;DISTINGUISHED FLYING CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;03/22/1942;542588;;;07/15/1988;163900;09/27/1992;234600
SYMONS;FLOYD;MURPHY;;NAVY;OFFICER;;Colonel;1100;;5259;SILVER STAR MEDAL;;HEROIC;2;01/01/1942;04/01/1942;4;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;12/24/1942;49461;;;07/15/1988;144700;09/13/1988;91100
PARKER;EDWARD;NEL;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY CROSS;;HEROIC;1;01/01/1942;01/01/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;SECNAV;06/20/1942;538534;;;07/15/1988;163700;09/27/1992;205300
FERRALL;WILLIAM;E;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY CROSS;;MERITORIOUS;1;01/01/1942;07/01/1942;7;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;08/21/1942;539105;;;07/15/1988;163800;09/27/1992;211300
NORTH;SYLVESTER;F;;NAVY;ENLISTED;;Damage Controlman OR Gunner's Mate First Class OR Machinery Technician OR Staff Sergeant OR Storekeeper First Class OR Technical Sergeant;;;5259;SILVER STAR MEDAL;;HEROIC;1;01/01/1942;04/01/1942;4;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;SECNAV;12/24/1942;555267;;;07/15/1988;164200;09/28/1992;72500
HARLFINGER;FREDER;;;NAVY;OFFICER;;Lieutenant OR Captain;;;5259;SILVER STAR MEDAL;;HEROIC;1;01/20/1942;01/20/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;USA - U.S. ARMY;03/19/1942;94786;;;07/15/1988;145500;09/13/1988;91900
BURCH;WILLIAM;OSC;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;6296;DISTINGUISHED FLYING CROSS;;HEROIC;1;01/31/1942;01/31/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;DISTINGUISHED FLYING CROSS;SECNAV;03/11/1942;539069;;;07/15/1988;163800;09/27/1992;211000
BULKELEY;JOHN;D;;NAVY;OFFICER;;Lieutenant OR Captain;;;5259;SILVER STAR MEDAL;;HEROIC;1;02/01/1942;02/01/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;USA - U.S. ARMY;03/16/1942;117958;;;07/15/1988;150000;09/13/1988;92300
GAYLER;NOEL;A;M;NAVY;OFFICER;;Lieutenant OR Captain;;;6296;NAVY CROSS;;HEROIC;1;02/01/1942;02/01/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;SECNAV;05/19/1942;176465;;;07/15/1988;151000;09/13/1988;93300
WARDER;FREDERICK;;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY CROSS;;HEROIC;1;02/01/1942;03/01/1942;2;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;SECNAV;04/20/1942;538547;;;07/15/1988;163700;10/15/1992;44200
SAUNDERS;WILLARD;;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY CROSS;;HEROIC;1;02/01/1942;04/01/1942;3;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;SECNAV;07/24/1942;539180;;;07/15/1988;163800;10/15/1992;53500
HILTON;HART;DALE;;NAVY;OFFICER;;Lieutenant (Junior Grade) OR First Lieutenant;;;1829;AIR MEDAL-INDIVIDUAL ACTION;;HEROIC;1;02/01/1942;02/01/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;AIR MEDAL-INDIVIDUAL ACTION;SECNAV;06/09/1942;542122;;;07/15/1988;163900;09/27/1992;232600
MEHLE;ROGER;WILLI;;NAVY;OFFICER;;Lieutenant OR Captain;;;1829;DISTINGUISHED FLYING CROSS;;HEROIC;1;02/01/1942;02/01/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;DISTINGUISHED FLYING CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;04/23/1942;542282;;;07/15/1988;163900;09/27/1992;233000
GRANSTON;ROBERT;W;;NAVY;OFFICER;;Ensign OR Second Lieutenant;;;5259;NAVY CROSS;;HEROIC;1;02/01/1942;02/01/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;SECNAV;03/07/1942;544530;;;07/15/1988;163900;09/28/1992;5800
SMITH;HAROLD;P;;NAVY;OFFICER;;Major General;;;5259;NAVY CROSS;;MERITORIOUS;1;02/19/1942;02/19/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;04/10/1942;538395;;;07/15/1988;163700;09/27/1992;204700
PARKER;EDWARD;NEL;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY CROSS;;HEROIC;2;02/19/1942;02/19/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;SECNAV;07/13/1942;538535;;;07/15/1988;163700;09/27/1992;205300
THACH;JOHN;S;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY CROSS;;HEROIC;1;02/20/1942;02/20/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;SECNAV;05/19/1942;539208;;;07/15/1988;163800;09/27/1992;211900
PARKER;EDWARD;NEL;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;DISTINGUISHED SERVICE MEDAL;;HEROIC;0;02/27/1942;02/27/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NO AWARD;SECNAV;07/16/1942;538538;;;07/15/1988;163700;09/27/1992;205400
AURAND;EVAN;P;;NAVY;OFFICER;;Lieutenant (Junior Grade) OR First Lieutenant;;;6296;NAVY CROSS;;HEROIC;1;03/01/1942;03/01/1942;0;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;SECNAV;05/19/1942;141512;;;07/15/1988;150300;09/13/1988;92700
GAYLER;NOEL;A;M;NAVY;OFFICER;;Lieutenant OR Captain;;;6296;NAVY CROSS;;HEROIC;2;03/01/1942;03/01/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;SECNAV;05/19/1942;176466;;;07/15/1988;151000;09/13/1988;93300
FENNO;FRANK;W;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY CROSS;;HEROIC;2;03/01/1942;05/01/1942;3;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;11/27/1942;538565;;;07/15/1988;163700;09/27/1992;205500
KINNEY;SHELDON;H;;NAVY;OFFICER;;Lieutenant OR Captain;;;5255;NAVY AND MARINE CORPS MEDAL;;MERITORIOUS;1;03/05/1942;03/05/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY AND MARINE CORPS MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;12/10/1942;162867;;;07/15/1988;150700;09/13/1988;93100
THACH;JOHN;SMITH;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY AND MARINE CORPS COMMENDATION MEDAL;;MERITORIOUS;1;03/10/1942;03/10/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY AND MARINE CORPS COMMENDATION MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;05/15/1942;539203;;;07/15/1988;163800;09/27/1992;211800
DIXON;ROBERT;E;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;1835;NAVY CROSS;;MERITORIOUS;1;03/10/1942;03/10/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;SECNAV;05/19/1942;539244;;;07/15/1988;163800;09/27/1992;212100
RINDSKOPF;MAURICE;;;NAVY;OFFICER;;Lieutenant (Junior Grade) OR First Lieutenant;;;5259;NAVY AND MARINE CORPS COMMENDATION MEDAL;;MERITORIOUS;1;04/01/1942;06/01/1942;3;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY AND MARINE CORPS COMMENDATION MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;06/29/1942;94581;;;07/15/1988;145500;09/13/1988;91900
BULKELEY;JOHN;D;;NAVY;OFFICER;;Lieutenant OR Captain;;;5259;ARMY DISTINGUISHED SERVICE CROSS;;HEROIC;2;04/01/1942;04/01/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;ARMY DISTINGUISHED SERVICE CROSS;USA - U.S. ARMY;04/29/1942;117952;;;07/15/1988;150000;09/13/1988;92300
KIRKPATRICK;CHARL;;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;2977;NAVY CROSS;;HEROIC;1;04/01/1942;06/01/1942;3;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;07/03/1942;540547;;;07/15/1988;163800;10/15/1992;72900
MCGRIEVY;JOSEPH;L;;NAVY;ENLISTED;;Chief Boatswain's Mate OR Chief Damage Controlman OR Chief Fire Control Techician OR Chief Gunner's Mate OR Chief Missile Technician OR Chief Radarman OR Chief Yeoman OR Gunnery Sergeant OR Sergeant First Class;;;5259;NAVY AND MARINE CORPS MEDAL;;HEROIC;0;04/01/1942;04/01/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;Undefined Code;SECNAV;08/14/1942;553360;;;07/15/1988;164100;09/28/1992;52500
ANDERSON;ROY;G;;NAVY;OFFICER;;Lieutenant (Junior Grade) OR First Lieutenant;;;5259;NAVY AND MARINE CORPS COMMENDATION MEDAL;;HEROIC;1;05/01/1942;05/01/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY AND MARINE CORPS COMMENDATION MEDAL;SECNAV;09/17/1942;166239;;;07/15/1988;150800;09/13/1988;93200
GAYLER;NOEL;A;M;NAVY;OFFICER;;Lieutenant OR Captain;;;6296;NAVY CROSS;;HEROIC;3;05/01/1942;05/01/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;SECNAV;08/08/1942;176467;;;07/15/1988;151000;09/13/1988;93300
SMALL;WALTER;L;;NAVY;OFFICER;;Lieutenant OR Captain;;;5259;SILVER STAR MEDAL;;HEROIC;1;05/01/1942;05/01/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;SILVER STAR MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;11/27/1942;201831;;;07/15/1988;151400;09/13/1988;93800
TYREE;DAVID;M;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY AND MARINE CORPS COMMENDATION MEDAL;;MERITORIOUS;1;05/01/1942;05/01/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY AND MARINE CORPS COMMENDATION MEDAL;SECNAV;08/08/1942;538511;;;07/15/1988;163700;09/27/1992;205200
STROOP;PAUL;D;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY AND MARINE CORPS COMMENDATION MEDAL;;MERITORIOUS;1;05/01/1942;05/01/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY AND MARINE CORPS COMMENDATION MEDAL;SECNAV;08/08/1942;538931;;;07/15/1988;163700;09/27/1992;210700
DIXON;ROBERT;E;;NAVY;OFFICER;;Commander OR Lieutenant Colonel;;;1835;NAVY CROSS;;HEROIC;2;05/01/1942;05/01/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;SECNAV;07/23/1942;539245;;;07/15/1988;163800;09/27/1992;212200
SMITH;HARRY;N;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;Undefined Code;;MERITORIOUS;10;05/01/1942;05/01/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY AND MARINE CORPS COMMENDATION MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;06/20/1942;539592;;;07/15/1988;163800;09/27/1992;214300
HIRSCH;MORRIS;A;;NAVY;OFFICER;;Lieutenant OR Captain;;;5259;NAVY AND MARINE CORPS COMMENDATION MEDAL;;HEROIC;1;05/01/1942;05/01/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY AND MARINE CORPS COMMENDATION MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;08/08/1942;539704;;;07/15/1988;163800;09/27/1992;215200
MCCLINTOCK;DAVID;;;NAVY;OFFICER;;Lieutenant OR Captain;;;5259;NAVY AND MARINE CORPS COMMENDATION MEDAL;;MERITORIOUS;1;05/01/1942;07/01/1942;3;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY AND MARINE CORPS COMMENDATION MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;09/13/1942;541442;;;07/15/1988;163800;10/15/1992;83500
CALDWELL;TURNER;F;;NAVY;OFFICER;;Lieutenant OR Captain;;;1831;NAVY CROSS;;HEROIC;1;05/01/1942;05/01/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;08/08/1942;541556;;;07/15/1988;163800;09/27/1992;230000
COMBS;WALTER;V;;NAVY;OFFICER;;Lieutenant OR Captain;;;6296;NAVY AND MARINE CORPS COMMENDATION MEDAL;;MERITORIOUS;1;05/01/1942;08/01/1942;4;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY AND MARINE CORPS COMMENDATION MEDAL;SECNAV;09/10/1942;541953;;;07/15/1988;163800;09/27/1992;231700
BURCH;WILLIAM;OSC;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY CROSS;;HEROIC;1;05/04/1942;05/04/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;06/28/1942;539073;;;07/15/1988;163800;09/27/1992;211000
COUSINS;RALPH;W;;NAVY;OFFICER;;Lieutenant OR Captain;;;5259;NAVY CROSS;;HEROIC;1;05/07/1942;05/07/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;07/23/1942;176231;;;07/15/1988;151000;09/13/1988;93300
CLARK;JOHN;EDWARD;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;Undefined Code;;MERITORIOUS;1;05/07/1942;05/07/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY AND MARINE CORPS COMMENDATION MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;07/23/1942;539083;;;07/15/1988;163800;09/27/1992;211100
KNAPP;PAUL;J;;NAVY;OFFICER;;Lieutenant (Junior Grade) OR First Lieutenant;;;5259;NAVY CROSS;;HEROIC;1;05/07/1942;05/07/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;09/02/1942;543188;;;07/15/1988;163900;09/28/1992;1300
GUEST;WILLIAM;S;;NAVY;OFFICER;;Lieutenant OR Captain;;;5259;NAVY CROSS;;HEROIC;1;05/08/1942;05/08/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;SECNAV;07/30/1942;176052;;;07/15/1988;151000;09/13/1988;93300
MONROE;JACK;P;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY AND MARINE CORPS COMMENDATION MEDAL;;MERITORIOUS;1;05/08/1942;05/08/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY AND MARINE CORPS COMMENDATION MEDAL;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;07/23/1942;539197;;;07/15/1988;163800;09/27/1992;211800
ODONNEL;EDWARD;J;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;1835;BRONZE STAR MEDAL (WITH COMBAT 'V');;MERITORIOUS;2;05/08/1942;05/08/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;BRONZE STAR MEDAL (WITH COMBAT 'V');SECNAV;08/19/1942;539503;;;07/15/1988;163800;09/27/1992;213700
GIBBS;HARRY;B;;NAVY;OFFICER;;Ensign OR Second Lieutenant;;;1820;DISTINGUISHED FLYING CROSS;;HEROIC;1;05/08/1942;05/08/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;DISTINGUISHED FLYING CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;06/20/1942;550295;;;07/15/1988;164100;09/28/1992;24400
MOORER;THOMAS;H;;NAVY;OFFICER;;Lieutenant OR Captain;;;5259;DISTINGUISHED FLYING CROSS;;HEROIC;1;05/24/1942;05/24/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;DISTINGUISHED FLYING CROSS;SECNAV;07/13/1942;331429;;;07/15/1988;153600;09/13/1988;100100
MCKINNEY;EUGENE;B;;NAVY;OFFICER;;Lieutenant Commander OR Major;;;5259;NAVY CROSS;;HEROIC;2;05/25/1942;05/25/1942;1;DISPLAY MONTH & YEAR;PACIFIC AREA (Japan, Philippines, Australia, China, Thailand, Korea, Guam, COMPACFLT);;;;NAVY CROSS;CINCPACFLT - COMMANDER IN CHIEF  U.S. PACIFIC FLEET;07/24/1942;539167;;;07/15/1988;163800;09/27/1992;211600
